股票代码,股票简称,股票市场类型
300837.SZ,浙矿股份,a股
300839.SZ,博汇股份,a股
300838.SZ,浙江力诺,a股
300841.SZ,康华生物,a股
300844.SZ,山水比德,a股
300845.SZ,捷安高科,a股
300849.SZ,锦盛新材,a股
300851.SZ,交大思诺,a股
300853.SZ,申昊科技,a股
300854.SZ,中兰环保,a股
300855.SZ,图南股份,a股
300861.SZ,美畅股份,a股
300862.SZ,蓝盾光电,a股
300864.SZ,南大环境,a股
300865.SZ,大宏立,a股
300869.SZ,康泰医学,a股
300871.SZ,回盛生物,a股
300875.SZ,捷强装备,a股
300876.SZ,蒙泰高新,a股
300878.SZ,维康药业,a股
300877.SZ,金春股份,a股
300881.SZ,盛德鑫泰,a股
300880.SZ,迦南智能,a股
300883.SZ,龙利得,a股
300884.SZ,狄耐克,a股
300886.SZ,华业香料,a股
300887.SZ,谱尼测试,a股
300890.SZ,翔丰华,a股
300892.SZ,品渥食品,a股
300894.SZ,火星人,a股
300897.SZ,山科智能,a股
300898.SZ,熊猫乳品,a股
300901.SZ,中胤时尚,a股
300902.SZ,国安达,a股
300906.SZ,日月明,a股
300907.SZ,康平科技,a股
300908.SZ,仲景食品,a股
300910.SZ,瑞丰新材,a股
300912.SZ,凯龙高科,a股
300915.SZ,海融科技,a股
300920.SZ,润阳科技,a股
300921.SZ,南凌科技,a股
300922.SZ,天秦装备,a股
300923.SZ,研奥股份,a股
300927.SZ,江天化学,a股
300928.SZ,华安鑫创,a股
300930.SZ,屹通新材,a股
300929.SZ,华骐环保,a股
300931.SZ,通用电梯,a股
300932.SZ,三友联众,a股
300933.SZ,中辰股份,a股
300935.SZ,盈建科,a股
300936.SZ,中英科技,a股
300937.SZ,药易购,a股
300939.SZ,秋田微,a股
300948.SZ,冠中生态,a股
300947.SZ,德必集团,a股
300949.SZ,奥雅股份,a股
300950.SZ,德固特,a股
300955.SZ,嘉亨家化,a股
300956.SZ,英力股份,a股
300958.SZ,建工修复,a股
300960.SZ,通业科技,a股
300961.SZ,深水海纳,a股
300962.SZ,中金辐照,a股
300966.SZ,共同药业,a股
300967.SZ,晓鸣股份,a股
300970.SZ,华绿生物,a股
300971.SZ,博亚精工,a股
300973.SZ,立高食品,a股
300977.SZ,深圳瑞捷,a股
300980.SZ,祥源新材,a股
300981.SZ,中红医疗,a股
300985.SZ,致远新能,a股
300987.SZ,川网传媒,a股
300988.SZ,津荣天宇,a股
300989.SZ,蕾奥规划,a股
300992.SZ,泰福泵业,a股
300994.SZ,久祺股份,a股
300993.SZ,玉马科技,a股
300995.SZ,奇德新材,a股
300998.SZ,宁波方正,a股
301001.SZ,凯淳股份,a股
301003.SZ,江苏博云,a股
301006.SZ,迈拓股份,a股
301008.SZ,宏昌科技,a股
301009.SZ,可靠股份,a股
301010.SZ,晶雪节能,a股
301011.SZ,华立科技,a股
301017.SZ,漱玉平民,a股
301015.SZ,百洋医药,a股
301020.SZ,密封科技,a股
301019.SZ,宁波色母,a股
301022.SZ,海泰科,a股
301023.SZ,奕帆传动,a股
301024.SZ,霍普股份,a股
301026.SZ,浩通科技,a股
301025.SZ,读客文化,a股
301027.SZ,华蓝集团,a股
301029.SZ,怡合达,a股
301031.SZ,中熔电气,a股
301032.SZ,新柴股份,a股
301033.SZ,迈普医学,a股
301035.SZ,润丰股份,a股
301036.SZ,双乐股份,a股
301037.SZ,保立佳,a股
301040.SZ,中环海陆,a股
301041.SZ,金百泽,a股
301043.SZ,绿岛风,a股
301047.SZ,义翘神州,a股
301045.SZ,天禄科技,a股
301049.SZ,超越科技,a股
301050.SZ,雷电微力,a股
301053.SZ,远信工业,a股
301055.SZ,张小泉,a股
301056.SZ,森赫股份,a股
301059.SZ,金三江,a股
301057.SZ,汇隆新材,a股
301062.SZ,上海艾录,a股
301063.SZ,海锅股份,a股
301066.SZ,万事利,a股
301065.SZ,本立科技,a股
301067.SZ,显盈科技,a股
301068.SZ,大地海洋,a股
301069.SZ,凯盛新材,a股
301072.SZ,中捷精工,a股
